,id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,18009,7701,Shera Tokens,SHR,shera-token,1,2022-02-10T06:09:00.000Z,2023-06-26T12:29:00.000Z,,1839.0,BNB,BNB,bnb,0xe2C5fCF777A2B860921116B275951A50e8135EEb
0,18015,4696,PRISM Protocol,PRISM,prism-protocol,1,2022-02-16T05:59:00.000Z,2023-06-26T12:29:00.000Z,,4172.0,Terra Classic,LUNC,terra-luna,terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw
0,18017,8281,Infinity Arena,INAZ,infinity-arena,1,2022-03-14T10:42:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0x6E551e88D0eD3EBD56F6b1F42B03BF9E4d68C47f
0,18022,7955,Beskar,BSK-BAA025,beskar,1,2022-03-28T10:40:00.000Z,2023-06-26T12:25:00.000Z,,6892.0,MultiversX,EGLD,multiversx-egld,BSK-baa025
0,18023,4600,SKY FRONTIER,GSKY,sky-frontier,1,2022-02-10T07:35:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x4a69720907de25683dc649131d70e2a68765c216
0,18024,9459,Kodi Coin,KODI,kodicoin,1,2022-02-10T10:45:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0xba5eab68a7203c9ff72e07b708991f07f55ef40e
0,18031,332,Concordium,CCD,concordium,1,2022-02-15T11:22:00.000Z,2023-06-26T12:27:00.000Z,,,,,,
0,18032,3321,NFTGamingStars,GS1,nftgamingstars,1,2022-02-10T08:20:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0xe38E3a21A4c0887E1aB0c2fbc3CAA4c71d8aE170
0,18035,7461,Doge-1 Mission to the moon,DOGE-1,doge-1-mission-to-the-moon,1,2022-02-10T08:48:00.000Z,2023-06-26T12:28:00.000Z,,1839.0,BNB,BNB,bnb,0x08ccac619e9c6e95d48dfd23793d722a994b95b8
0,18048,6222,Ratio Finance,RATIO,ratio-finance,1,2022-03-28T09:40:00.000Z,2023-06-26T12:25:00.000Z,,5426.0,Solana,SOL,solana,ratioMVg27rSZbSvBopUvsdrGUzeALUfFma61mpxc8J
0,18051,3913,Konstellation Network,DARC,konstellation-network,1,2022-02-15T07:20:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x8ebc361536094fd5b4ffb8521e31900614c9f55d
0,18056,4948,ZONE,ZONE,zone,1,2022-02-14T18:35:00.000Z,2023-06-26T12:25:00.000Z,,4030.0,Algorand,ALGO,algorand,444035862
0,18058,6099,Stilton,STILT,stilton-musk,1,2022-02-11T12:14:00.000Z,2023-06-26T12:29:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xb5f1457d6fba1956fb8d31b0b7caca14bde0be4b
0,18059,3158,QMALL TOKEN,QMALL,qmall-token,1,2022-02-15T16:57:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x2217e5921B7edfB4BB193a6228459974010D2198
0,18064,7982,Plata Network,PLATA,plata-network,1,2022-03-18T05:14:00.000Z,2023-06-26T12:29:00.000Z,,6892.0,MultiversX,EGLD,multiversx-egld,PLATA-9ba6c3
0,18069,122,STEPN,GMT,green-metaverse-token,1,2022-03-09T13:07:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xe3c408bd53c31c085a1746af401a4042954ff740
0,18074,7889,Lilly Finance,Ly,lillyfinance,1,2022-02-14T10:36:00.000Z,2023-06-26T12:26:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x8686525d6627a25c68de82c228448f43c97999f2
0,18076,7268,HEADLINE,HDL,headline-inc,1,2022-02-14T08:17:00.000Z,2023-06-26T12:27:00.000Z,,4030.0,Algorand,ALGO,algorand,137594422
0,18079,3072,Iron Fish,IRON,iron-fish,1,2023-04-26T04:10:00.000Z,2023-06-26T12:25:00.000Z,,,,,,
0,18081,3568,BattleVerse,BVC,battleverse,1,2022-02-19T14:00:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x9bee0c15676a65ef3c8cdb38cb3dd31c675bbd12
0,18084,9460,MinerBlox,MBLOX,minerblox,1,2022-02-14T16:47:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0xAD0A3901eFf23b9143985bCB42F0171a112A2fD3
